company,positionName,location,clean!,url
The Original Pancake House-DFW,Lead Chef,"Dallas, TX 75204",purchasing preparation maintenance sanitation training cooking preparation sanitation one cooking preparation plating cooking cooking cooking store fifo peak general paperwork form maintenance storage storage waste prompt training training sanitation storage refrigeration training,https://www.indeed.com/rc/clk?jk=f121e0ed505b4ccc&fccid=65e399840ae8fa0d&vjs=3
Sodexo,ILT LANCASTER K8 - Kitchen Supervisor,"Irving, TX 75038",leadership texas ilt pay insurance healthcare waiting pay training servsafe training oversight health oversight general general productivity productivity oversight training addition oversight customer allergy illness training accident injury risk training assessment training learning ged customer clear perception focus mobility reach pound pound performing heat eligibility health insurance access discount eligibility,https://www.indeed.com/rc/clk?jk=95d44ab39ffa7f5d&fccid=272c1d1b584def7a&vjs=3
Sweet Me Photography,Newborn Photographer,"Dallas, TX",sweet photography studio newborn photography convenience newborn focus newborn rest editing retouching focus newborn newborn posing workflow frame digital slr aperture pay pay tip consideration health mask sanitation application newborn newborn gallery facebook dslr newborn posing newborn newborn one,https://www.indeed.com/company/Sweet-Me-Photography/jobs/Newborn-Photographer-043cb62756404e66?fccid=c471ad1e9a6eaf1c&vjs=3
Suntex Marinas,Graphic Designer,"Dallas, TX 75252",retail space office building customer organization office application principle design print collateral digital powerpoint photography videography organization design design output design ownership advanced design design design project completion project digital provision design digital html range design adobe suite pay matching insurance discount health insurance health insurance insurance pay bonus pay one,https://www.indeed.com/company/Suntex-Marinas/jobs/Graphic-Designer-cf47529405c09b4b?fccid=fa7cb9157195cb35&vjs=3
PhotoBooth Deals,Photo Booth Attendant (Dallas),"Dallas, TX",customer sorting digital photo training photo photo go crisis customer general step step pay photo customer technology engage ideal entertainment pay availability pay tip,https://www.indeed.com/company/PhotoBooth-Deals/jobs/Photo-Booth-Attendant-1be1caaaa69bfe16?fccid=99cefc5f0c59bd3c&vjs=3
"Delivery Limited, LLC",Fine Art handler & Installer/ White Glove Mover/Delivery Drivers,"Dallas, TX 75247",art furniture art furniture pick etiquette foot travel relocation pick assembly disassembly furniture art sculpture pay insurance discount health insurance insurance training insurance overtime availability pay bonus pay tip one,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DAwgduWqBP7ymGN-lTADpinz2i-23XbRAyg5ywqS-MDQO7uNyPnsLxbJC4IJQDjIQhLo5KjvDmLqkr6wBz6OPK0KkDeu8Rz8YAjBG2ayvLbkU4mWWVLutzxbRSHKY2zOjvwUk1zsoLbi99Foen37dXGMQXwt_xMyj5o9HlKqFacQmh0OCqee8pBHxZ5Es_-oDoCtavMlsShHdLLRB8cunyhCN7T5cIj9GPxhu-MK13_NIu1kCkq6obxR4PF-YPMFysz35vFBEAPcI1lhbljepqTMqEhfUHprP7Qj9Ap3oSs_NkIHOt3A_-qwy2sBGoWI_1JkTGwigvOw8PnznPB-YlOSzZPWPtHeP2jscxQDNE-E12-xhw3sbhO3C6ZbFfO1OvkelTJBhM0vSlT_xGzYr24yI49K3D7qg_rY_kJ0YCrOAkbUYszHl41DVtDLAwrUKDiPLZAi3LBHACD9ZRsiNYQBpHsFt_xS6mGf4r80XVTg==&xkcb=SoCR-_M3X8AiUYA64L0LbzkdCdPP&p=0&fvj=1&vjs=3
King Architectural Metals,CNC Plasma Production Artist,"Dallas, TX 75228",customer proof cnc design customer proof project dimension customer proof customer export proof art cnc construction autocad design cad 3d modeling adobe design autocad excel trello asana bonus adobe cloud photography design design pay insurance health insurance insurance pay bonus pay one,https://www.indeed.com/company/King-Architectural-Metals/jobs/CNC-Plasma-Production-Artist-dbbe3abab78b3130?fccid=abd30b72d142b993&vjs=3
Hummingbird,WordPress Website Designer,"Dallas, TX 75207",hiring wordpress art gallery discus resume wordpress design pay web design ux wordpress one,https://www.indeed.com/company/Belbosco/jobs/Wordpress-Website-Designer-e2e12020a5074e05?fccid=10a9728d9148ef6a&vjs=3
Deloitte,Senior Designer-Deloitte’s Green Dot Agency,"Dallas, TX 75201",record print digital motion learning craft technology visuals ideal branding design online resume visuals print digital video web design strategy layout adobe cloud application design project solver project collaboration project workflow design project adobe cc application microsoft office suite powerpoint video editing storyboarding motion drive focus project design immigration sponsorship edge engage strategy capture online resume compensation range compensation range range compensation training licensure range range compensation fact case range award cmg,https://www.indeed.com/rc/clk?jk=b2619598fb74856b&fccid=9e215d88a6b33622&vjs=3
Artome,Part-Time Art Show Customer Service - Will Train!!!,"Arlington, TX 76013",art art showcase artwork gallery art customer art art resolve art scheduling training,https://www.indeed.com/rc/clk?jk=8bf3cce1dccd73e4&fccid=44c6f10d2601ed45&vjs=3
Cesani Arts,Art Claims Coordinator,"Dallas, TX 75234",base pay plus commission art project project customer crm documentation flood project project go administrative insurance restoration plus office suite outlook word excel customer art record overtime travel art art art plus project customer art photo participation reporting customer customer art art restoration storage art salary insurance health insurance pay commission pay,https://www.indeed.com/rc/clk?jk=5c0e5250b93fa38b&fccid=5a32f88724616941&vjs=3
MAKE EXPRESSION,Art Teacher/Customer Service,"2995 Preston Road, Frisco, TX 75034",one art customer road suite ideal story art studio pottery painting glass fusing canvas painting one art studio customer art art public resolve customer transportation application compensation compensation camp painting application scheduling hiring,https://www.indeed.com/rc/clk?jk=a1bb435b3594fe5d&fccid=c41effcb04cff1e4&vjs=3
Gables Residential,Assistant Service Manager,"Dallas, TX 75254",one man training training recruiting hiring training supply supply completion building liability maintenance adherence customer budgeting focus english productivity reason basic one maintenance building maintenance renovation travel overtime maintenance general maintenance pound mobility ladder height excess foot outdoors insurance epa pest basic general maintenance ladder landscaping apparel footwear boot customer diagnose hvac epa basic intermediate plumbing general carpentry basic intermediate pest wallpaper painting irrigation maintenance landscaping maintenance foundation sidewalk ice snow basic internet intermediate word excel outlook learning apparel apparel f customer,https://www.indeed.com/rc/clk?jk=f3f861ff13cc413f&fccid=078c48d565017c40&vjs=3
Torrid,Part Time Assistant Manager,"Arlington, TX 76018",shape customer store one customer focus recruiting training store store store recruiting training store store kpi leadership running prevention payroll reporting scheduling customer shopping customer store merchandise strategy store customer apparel retail customer retail store pound reach merchandise ladder step merchandise health espp insurance bonus discount childcare discount general matching discount health insurance insurance range availability customer retail store one,https://www.indeed.com/company/Torrid/jobs/Assistant-Manager-758e55287154f41d?fccid=136a9bbaab43f7d3&vjs=3
JCPenney,Lead Engineer,"Plano, TX 75024",technology merchandise merchandise technology cloud oracle sql unix scripting project collaboration technology leadership architecture leadership coaching organization sme leadership interpret design evolution application oracle sql unix scripting oracle sql sql unix scripting resolve database java postgresql database processing retail optimization application cloud application jda jda jda agile application maintenance agile scrum project jira technology enterprise insurance discount merchandise shopping family customer apparel jewelry customer com store rico customer shopping visit newsroom facebook instagram twitter linkedin visit,https://www.indeed.com/rc/clk?jk=f70c3193f135dddd&fccid=d5d8f5bf0085c021&vjs=3
Torrid,Key Holder,"Arlington, TX 76018",shape customer store one customer focus recruiting training store performing store shopping customer store kpi customer shopping customer merchandise strategy store customer drive store store store acting apparel retail customer retail store pound reach merchandise ladder step merchandise discount bonus health espp childcare discount general range availability one,https://www.indeed.com/company/Torrid/jobs/Key-Holder-f08edf7f347c4f6d?fccid=136a9bbaab43f7d3&vjs=3
David's Bridal,Customer Service Representative,"Mesquite, TX 75150",commission bonus teamwork customer empower customer one wedding fit customer one customer discus discount customer csr customer star customer csr store csr cash wrap store customer shopping customer chat customer conflict customer flow star customer customer customer customer one store star customer customer leadership personalization store shopping customer customer engage processing merchandise cash wrap customer demand performing sit reach customer pound perception retail apparel store pay bonus discount pay insurance illness indemnity injury discount protection discount insurance discount mobile insurance customer form general classification,https://www.indeed.com/rc/clk?jk=df4b256de10f85c2&fccid=9779abf4bed46377&vjs=3
BSN Sports,Field Sales Pro,"Dallas, TX",apparel one drive customer customer revenue drive soccer football intelligence prospect microsoft office outlook word excel ipad customer b2b sporting coaching pro commission discount apparel training ipad matching insurance teamwork reach atmosphere transparency one customer teamwork one customer sporting apparel office edge technology apparel atmosphere consideration color religion status status status,https://www.indeed.com/rc/clk?jk=6c422e045f2b1e87&fccid=0bd7ba6cae3fa043&vjs=3
Academy Sports + Outdoors,Apparel Sales Associate,"Lewisville, TX 75067",outdoors outdoors apparel athletics customer abundance apparel customer apparel customer store general ged customer connect engage customer family outdoors customer interpret maintenance instruction basic computation instruction form prompt customer drive customer store connect customer merchandising apparel merchandise customer apparel apparel store fitting fitting reach motion wrist pound grasp pound sit balance pound pay discount range availability one,https://www.indeed.com/company/Academy-Sports-+-Outdoors/jobs/Apparel-Sales-Associate-73404e7c7b784bb6?fccid=a01997b9e64c27a7&vjs=3
David's Bridal,Front Desk Cashier,"Frisco, TX 75035",commission bonus teamwork customer empower customer one wedding fit customer one customer discus discount customer csr customer star customer csr store csr cash wrap store customer shopping customer chat customer conflict customer flow star customer customer customer customer one store star customer customer leadership personalization store shopping customer customer engage processing merchandise cash wrap customer demand performing sit reach customer pound perception retail apparel store pay bonus discount pay insurance illness indemnity injury discount protection discount insurance discount mobile insurance customer form general classification,https://www.indeed.com/rc/clk?jk=a15f304154b6e868&fccid=9779abf4bed46377&vjs=3
Hollister Co. Stores,"Hollister Co. - Stock Associate, North East","Hurst, TX",nyse apparel skin sleepwear apparel express store commerce www com www com www com www com www com merchandise flow store peak customer store protection training learning f fit f merchandise discount affiliate training instagram,https://www.indeed.com/rc/clk?jk=833805b25dab1fcc&fccid=04544b6d56dd81e8&vjs=3
NIKE INC,"Nike Grapevine Retail Sales Associate Seasonal (""Athlete"")","Grapevine Mills 3000 Grapevine Mills Pkwy. Suite 611, Grapevine, TX 76051",boundary edge retail focus customer retail store retail demand creativity teammate retail retail wage seasonal pro player customer energy drive customer store retail store teammate store store reliability store cash shipping twist reach ladder customer one customer retail scheduling retail store customer retail access apparel compensation retail atmosphere one inspiration consideration color religion status,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BoYl0jBLghHpaJBjcehw5r4JW_2qulEu_25yY9fasR_uUj-wZYctfh7E23k4CQgUCp0MoY84CneJ6YDwEa2DFX0tiSSbqG1sDXOJb56cnh86itL99yvUNGoMh82nMJmbA3TijdlLE6sMWUAGwHIHSajuFwl4R1wQ7bW8s_tz1dNihJy65MyKOm-yc0zJIgMHNA8hRzXvmq7qn6TtXOBFFVkVdHAYtyrkwvezVUJjkV6e-WnuD2wAXxCdsQ1_-bEDIea5HLYIa68vvHAXtPvoJEDgQYb0msZe8nZHsvJVoGi_6c0HQdiOQdelJjq-ysBUPtD20qO5lkunUF0D01pmuoTmO1vRDGLcjugIixAdtV4e_Bslad_F7h0dViGm96qQUuqjxlXbg2LRSZtGuK6KT2JmO_f7bwOxIwhlFSGLapAQ==&xkcb=SoAw-_M3X8BeASAxzD0LbzkdCdPP&p=8&fvj=0&vjs=3
Bioworld Merchandising,Product Developer - Apparel,"Irving, TX 75038",merchandising design apparel headwear retail retail story design merchandising retail apparel go sampling design merchandising fit licensing go photoshop microsoft word excel outlook design color balance leadership project basic apparel plus advanced apparel construction pattern fit print plm bonus sampling plm etd plm plm workflow sampling research store survey shopping design merchandising plus,https://www.indeed.com/rc/clk?jk=7df94c060464719a&fccid=36fb14f9efb4afba&vjs=3
Securitas,Account Manager,"Dallas, TX",security preparation scheduling training security relief case performing uncertainty customer status negotiation security assessment survey training caliber dignity supply training supply payroll record collaboration scheduling security security administrative hiring transportation public english ged screening investigation security one one training testing licensing security authorization security training security leadership customer project organization demand addition demand demand public urgency pressure testing survey travel pound pound focus conducting training coaching f,https://www.indeed.com/rc/clk?jk=443f126f31698d56&fccid=842ec1ced0fea1d5&vjs=3
RSM US LLP,Business Development Director - Corporate Mergers & Acquisitions,"Dallas, TX 75240",participation leadership strategy intelligence participation research logging forecasting intelligence drive adoption coaching philosophy leadership finance economics intermediate microsoft office c suite revenue organization revenue organization public civic base compensation bonus base compensation range range hiring visit step one geography learning application interview recruiting email com,https://www.indeed.com/rc/clk?jk=5b159ab591d1cfc6&fccid=198b7374e1f8a26f&vjs=3
FPG,Account Executive,"Dallas, TX",offshore outsourcing running ideal offshore plus research travel prospect organization drive intelligence record prospect customer record articulate base commission training training organization pay insurance health insurance insurance application mobile app,https://www.indeed.com/company/FPG/jobs/Account-Executive-9b292fb54963a4b9?fccid=cf49ab2147504730&vjs=3
IMAGINiT Technologies,Business Development Representative,"Dallas, TX 75207",technology technology design project customer pivotal base prospect customer energy customer drive prospect customer strategy prospect enterprise salesforce drive salesforce productivity training cloud internet record organization negotiation crm utilization office excel outlook powerpoint onenote compensation base salary commission cap one onboarding training leadership customer organization visit application ethnicity religion status application sponsorship,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CI2E3_nQ8Wq0BdGdx3j47lDpxX_dGLOoEn_THs5slwLMIpz1KgUkvu2nt3wUNdw4JDi0TMhFcvq85_U62cMGQSaXI0RbGH4lZitl9dZE6p8nYRDhOt51TKL6YJ_KfKe4-9oaLFJilUU5IMqgf-fvZGWt9QKlh0pWVarHxlR088y_FBX--x1nAuxpOPUdmUacRFkcB40d38aQHCxi74Px5Z9n5QLtC6eZGp0Q1aRgLBr5ZtcPfNKDEJgToHSbt3qEymuV8yOdpUdCqqQJR4yzEaAvq0Kug31RGra-i5tmu-dBbMNTIPDDcfyxmlVEXcoDStB9uILRqIHtfViMdC16FYukfyn0yFVUfXRJTxkNr6rhIb5NFlr_YqAxWkw3kUGNlf24W9HxFKeQoibjdbllufVevnyO2gd3nN42e3BFHRnNI6QcZ6QK8E7mtWgmSuDB0LrR0Qy-EgBawrb3y--I2GyzuwA5eVcHHlALtsTmtArvN8kOohx6TYtYwkfZ6ePp1XV9DHcKAaX-hNxtM2YocUScTNInVaL6guyErBKjqwFtl-XLfgKFGWc8fFbA-QUdk=&xkcb=SoCO-_M3X8B_PfWbKh0IbzkdCdPP&p=13&fvj=0&vjs=3
Kindred Healthcare,Hospital Business Development / Clinical Sales Liaison,"Dallas, TX 75231",healthcare drive healthcare healthcare illness injury one rehabilitation liaison assessment design strategy one one transmission family liaison liaison healthcare healthcare healthcare training,https://www.indeed.com/rc/clk?jk=94d511652eeb7165&fccid=e83618db4f163bfd&vjs=3
"City of Allen, TX",Business Development Supervisor,"Allen, TX",visit recreation strategy conducting membership strategy membership strategy promotional membership strategy conducting membership revenue instruction record database promotional revenue sponsorship revenue customer promotional membership conducting membership registration general one fitness fitness recreation advanced literature intermediate application writing advanced speech completion research negotiation,https://www.indeed.com/rc/clk?jk=cf439b902ff685bb&fccid=a83998986c4ce1bb&vjs=3
Sol-Ark,Business Development & Channel Salesperson,"Plano, TX",step step interview compensation salary bonus health award solar technology solar plus storage solar plus storage technology commission ipo family energy b2b email fit prospect one travel one coaching plus public solar battery plus fit balance art juggling project art rodeo application interview,https://www.indeed.com/rc/clk?jk=ace866d3819e8246&fccid=0cf44d3b59540ed8&vjs=3
Cozymeal,Business Development Manager,"Dallas, TX",connect cooking cookware step step video connect wine building plus cookware addition customer access customer customer focus sourcing prospect proposition case revenue visit plus record drive finish go pay mobility visit,https://www.indeed.com/rc/clk?jk=70de1aea0647f9bd&fccid=9c421dd5bcf4c9da&vjs=3
Freeman Company,Business Development Manager,"Dallas, TX 75244",live shaping exhibition drive technology project focus organization customer design carpet transportation collateral collateral quote credit travel travel revenue salesforce com microsoft office application customer travel travel customer reach connect consideration color religion genetics status,https://www.indeed.com/rc/clk?jk=5d14d44ba2a2a5fe&fccid=04f3084fd92de635&vjs=3
Lone Star Analysis,Business Development Manager,"Addison, TX",star intelligence organization star manufacturing aerospace defense energy transportation aerospace defense government texas customer revenue intelligence application intelligence application design star conducting ideal military intelligence defense defense aerospace instrumental diversification articulate customer flow modeling testing testing aerospace defense defense government parsing record star prospect defense aerospace pipeline customer star leadership prospect prospect aerospace defense manufacturing energy transportation telecom design technology negotiation focus microsoft office suite crm travel travel military government government star edge star one cafeteria pto compensation protection family star addition star consideration color religion star www star com,https://www.indeed.com/rc/clk?jk=ab53bb543a90d93e&fccid=77284ebadb5e0a08&vjs=3
Rockwall Nursing Care Center,Marketing Director/Business Development - Nursing Home,"Rockwall, TX 75087",search ideal organization healthcare census case healthcare microsoft office pay insurance health insurance health insurance insurance healthcare one,https://www.indeed.com/company/Rockwall-Nursing-Care-Center/jobs/Marketing-Director-Business-Development-4ddff6f5e94e12f1?fccid=59327e88eacd5956&vjs=3
