"company","description","externalApplyLink","id","jobType","jobType/0","jobType/1","jobType/2","location","positionName","postedAt","rating","reviewsCount","salary","scrapedAt","url"
"PROLIM Corporation","Responsibilities include:

 Identify technical requirements, and use technical knowledge to design, and implement functional systems, to fulfill customers’ expectations.
 Develop solutions to problems, as well as manage multiple issues at the same time.
 Create automated scripts to improve system efficiency and deployment processes
 Apply application fixes & maintenance patches and install/maintain compilers & runtime libraries
 Troubleshoot / diagnose application issues.
 Ability to create/maintain standardized processes.
 Utilize Change Management Process to obtain approval for environmental changes.
 Daily time management and accurate time reporting.
 Support emergency changes or business requests.
 Create and Maintain documentation for applications, incidents, and their known resolutions as well as common best practices of enterprise-level systems.
 Propose preventative maintenance methods & quickly troubleshoot server problems that may arise.
 Provide off-hours support as needed, both onsite & remotely.

WORK EXPERIENCE REQUIREMENTS

 Demonstrated experience managing Automotive applications in Windows/CIFS environment.
 Experience installing, testing, troubleshooting, and upgrading applications and systems
 Experience creating and modifying scripts or applications to perform tasks using Powershell, bash, batch etc.
 Knowledge of networks like DHCP, DNS, F/W, and NAT.
 Experience with Active Directory Domain Services is plus
 Must be a self-starter and be able to follow & enforce defined division processes.
 Must work well within a diverse integrated team environment.
 Excellent organization & time management skills in addition to a high level of problem solving and analysis.
 Ensure exceptional customer service & support with prompt problem resolution & follow-up for local and remote end users.
 Having automotive R&D knowledge is plus
 Experience with ServiceNow is a plus, but not required.
 Could skills like cloud networking (VPC, Subnet, Security Groups) are plus.

JUDGMENT REQUIREMENTSOther than standard guidelines, procedures and assignments, little direction may be given. The candidate must be able to manage his/her time and assignments. Thoroughness in completing tasks on time with high quality is imperative. Information Security is a priority and the enforcement and adherence to corporate security policy is critical.The candidate will interact with the entire Information Systems division, receive instructions, support projects and share status information, but will also be in contact with other Toyota groups to coordinate changes and obtain requirements.
Job Type: Contract
Salary: $55.00 - $57.00 per hour
Schedule:

 8 hour shift

Work Location: On the road
Speak with the employer+91 +1 214 945 2557",,"fbfa5fe1b92c30bb",,"Contract",,,"Plano, TX","Systems Engineer","Posted today",,,"$55 - $57 an hour","2022-11-14T23:00:41.739Z","https://www.indeed.com/company/PROLIM-Corporation/jobs/System-Engineer-fbfa5fe1b92c30bb?fccid=d1153069427db18d&vjs=3"
"Atlas Technica","
 Position Name: Systems Engineer Reports to: Client Technology Manager Location/Type: Dallas, TX/Hybrid
  
 Atlas Technica's mission is to shoulder IT management, user support, and cybersecurity for our clients, who are hedge funds and other investment firms. Founded in 2016, we have grown 100% year over year through our uncompromising focus on service. 
 We value ownership, execution, growth, intelligence, and camaraderie. We are looking for people who share our Core Values (https://atlastechnica.com/core-values), thrive, and contribute to this environment while putting the customer first. At Atlas Technica, we offer a competitive salary, comprehensive benefits, and great perks to our global Team. We strive to maintain a professional yet friendly environment while promoting professional and career development for our Team Members. Join Atlas Technica now! 
 We are seeking a Systems Engineer to join our rapidly growing organization. This is a highly technical role providing excellent career development opportunities for the successful candidate. You will be working with other Systems Engineers and Sr. Systems Engineers in a very collaborative environment which allows for very quick technical growth. 
 This position is classified as hybrid, the bulk of work being remote, but with a requirement to make occasional onsite visits to client and Atlas facilities as need arises. Onsite requirement is, on average, 20%. A qualified candidate will be able to commute to our clients and Atlas facilities in the region of Dallas, Texas. 
 Responsibilities: 
 
  Perform IT Support services to users onsite
   Use of a ticketing system to manage support queries
   Maintain documentation and comply with rules and guidelines of the organization
   Adherence to strict change control procedures
  
 Requirements: 
 
  At least 2 years of IT Experience (Desktop Support, Systems Engineering, Systems Administration) 
  End User Support / Desktop Support: Microsoft Windows, Microsoft Office, desktop, and mobile device troubleshooting
   Strong verbal and written communication skills
   Support of primarily Microsoft 365 stack (Exchange Online, SharePoint Online, Intune, Azure AD)
   Systems Administration: Knowledge of Microsoft Windows Server Platforms as well as Active Directory, Group Policy, good if you are familiar with Citrix XenApp
   Support of Sophos or similar product for endpoint threat management
   Basic understanding of virtualization platforms such as VMware or Hyper-V
   Understanding of networking: TCP/IP, LAN / DMZ / WAN, DHCP, DNS, Routing, Switching and Firewalls
   Experience working in an MSP environment
   The candidate must be able to complete all physical requirements of the job, which include but are not limited to, the following; must be able to lift and/or carry up to 50 lbs; stand/sit for extended periods of time; push/pull; climb stairs; stoop, kneel or crouch; use fingers/hands to handle or feel; reach above head or below knee level; and the ability to work around machinery and material handling equipment.
  
 Desirable Qualities: 
 
  Financial industry experience including familiarity with market vendor applications: Bloomberg, Thompson Reuters, FactSet, CapIQ
   Significant experience in an MSP environment, particularly utilizing the ConnectWise suite of products
   Exposure to/ability to support workloads in Azure or AWS
   Experience with vendors such as Google Workspace, Box, Dropbox, Duo, Okta, AirWatch
   Experience with and ability to support Citrix XenApp or similar products
   Experience with cybersecurity solutions such as Carbon Black, Cylance, Crowdstrike, Cyberhat
   Experience with Mimecast or other mail security gateway solutions such as IronPort or Proofpoint
   More than basic understanding of Storage and Virtualization platforms such as Nimble, Pure Storage, NetApp, EMC, VMware, Hyper-V, XenServer
  
 Atlas Technica is proud to be an Equal Employment Opportunity employer. We do not discriminate based upon race, religion, color, national origin, gender, sexual orientation, gender identity, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.
",,"d8e8240199241938",,"Full-time",,,"Dallas, TX","Systems Engineer - Hybrid","Posted Just posted","4.7","6",,"2022-11-14T23:00:41.828Z","https://www.indeed.com/rc/clk?jk=d8e8240199241938&fccid=bcfe2240a977ed54&vjs=3"
"American Airlines","
 Location: Integrated Operations Ctr (DFW-SV02) Additional Locations: None Requisition ID: 63986
 
  
   
     Intro
   
   
     Are you ready to explore a world of possibilities, both at work and during your time off? Join our American Airlines family, and you’ll travel the world, grow your expertise and become the best version of you. As you embark on a new journey, you’ll tackle challenges with flexibility and grace, learning new skills and advancing your career while having the time of your life. Feel free to enrich both your personal and work life and hop on board!
   
  
  
   
     Why you'll love this job
   
   
    
      This job is a member of the Crew Scheduling Strategy and Support team within the Integrated Operations Division.
      Represents the voice of customers and users of various applications by serving in the role of Product Owner within the Crew Scheduling product.
      Leads activity associated with the automation and implementation of the Pilot and Flight Attendant JCBAs.
      Responsible for providing guidance to the Crew Scheduling and Tracking teams on crew contractual issues.
    
   
  
  
   
     What you'll do
   
   
     As noted above, this list is intended to reflect the current job but there may be additional essential functions (and certainly non-essential job functions) that are not referenced. Management will modify the job or require other tasks be performed whenever it is deemed appropriate to do so, observing, of course, any legal obligations including any collective bargaining obligations.
    
      Serves as a Product Owner who represents the voice of customers and users of Crew Scheduling technology applications.
      Advocates for the product vision.
      Incorporates regular feedback loops to continuously learn about user preferences and improve the Product.
      Manages the product backlog in concert with the roadmap set by the Product Manager and accepts work as “done”.
      Defines acceptance criteria and ensures requirements are met and accepted.
      Takes part in day-to-day collaboration and engagement with the squad/team.
      Uses prioritization best practices to drive squad/team decision-making.
      Complete Risk Management Worksheets (RMW) and participate in RMW reviews as necessary.
      Leads activity associated with the automation and implementation of the Pilot and Flight Attendant JCBAs including requirement and test cases documentation, reporting on progress to product stakeholders, and working with the Crew Scheduling training team in development of training material when needed.
      Develops presentations and various materials associated with crew contracts.
      Coordinates and attends contract compliance meetings with APA/APFA including call reviews and Crew Compensation inquiries.
      Completes other duties as required.
    
   
  
  
   
     All you'll need for success
   
   
     Minimum Qualifications- Education & Prior Job Experience
    
      Bachelor’s degree in related field or equivalent experience/training
      3 years job related experience
      Proactive, self-starter with excellent project management skills and ability to manage multiple tasks effectively
      Strong communication and interpersonal skills, with the ability to engage, influence, and inspire Stakeholders
      High degree of organization, initiative, and personal accountability
    
     Preferred Qualifications- Education & Prior Job Experience
    
      Prior Product Owner experience
      Prior experience supporting Crew Scheduling
      Experience working with Agile methods and tools
      Knowledge of Azure DevOps
    
     Skills, Licenses & Certifications
    
      Knowledge of Microsoft Office tools including Word, Excel, PowerPoint, and Outlook
      Excellent analytical thinking and problem-solving abilities
      Satisfactory Attendance and Performance
      Ability to work with minimal supervision
      Ability to be flexible and capable of adapting to constant change
      Ability to effectively meet deadlines and prioritize tasks in a dynamic and fast-paced work environment
      Ability to work in a stressful environment
      Ability to report to work on a regular and timely basis
      Ability to work shifts, weekends, and holidays, as needed
    
   
  
  
   
     What you'll get
   
   
     Feel free to take advantage of all that American Airlines has to offer:
    
      Travel Perks: Ready to explore the world? You, your family and your friends can reach 365 destinations on more than 6,800 daily flights across our global network.
      Health Benefits: On day one, you’ll have access to your health, dental, prescription and vision benefits to help you stay well. And that’s just the start, we also offer virtual doctor visits, flexible spending accounts and more.
      Wellness Programs: We want you to be the best version of yourself – that’s why our wellness programs provide you with all the right tools, resources and support you need.
      401(k) Program: Available upon hire and, depending on the workgroup, employer contributions to your 401(k) program are available after one year.
      Additional Benefits: Other great benefits include our Employee Assistance Program, pet insurance and discounts on hotels, cars, cruises and more. 
    
   
  
  
   
     Feel free to be yourself at American
   
   
     From the team members we hire to the customers we serve; inclusion and diversity are the foundation of the dynamic workforce at American Airlines. Our 20+ Employee Business Resource Groups are focused on connecting our team members to our customers, suppliers, communities and shareholders, helping team members reach their full potential and creating an inclusive work environment to meet and exceed the needs of our diverse world.
     Are you ready to feel a tremendous sense of pride and satisfaction as you do your part to keep the largest airline in the world running smoothly as we care for people on life’s journey? Feel free to be yourself at American.
   
  
 
  Additional Locations: None Requisition ID: 63986
","https://www.indeed.com/applystart?jk=4ac2fbe7f07b7cfd&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXhIEt_rFpEt2qzyeuMgltT6QPTx7ack05kPwIeOSvQquQ&vjfrom=serp&astse=9caefdb1234d114f&assa=1882","4ac2fbe7f07b7cfd",,,,,"Dallas, TX","Product Owner/Senior Product Owner, Crew Scheduling Technology","Posted today","4","4810",,"2022-11-14T23:00:42.113Z","https://www.indeed.com/rc/clk?jk=4ac2fbe7f07b7cfd&fccid=b445cea762cc7d0d&vjs=3"
"Emonics LLC","Essential Duties and Responsibilities: 
Must haves: 1. 4G Wireless telecom experience2. Strong communicator / analytical3. Test or Network Support experience
Preferred: 1. Strong understanding of 4G or 5G network architecture2. Understands Call flows (4G network attach, Handover etc)3. Linux Experience
Job Type: Full-time
Salary: $80,000.00 - $85,000.00 per year
Schedule:

 8 hour shift
 Day shift

Ability to commute/relocate:

 Plano, TX 75023: Reliably commute or planning to relocate before starting work (Required)

Work Location: One location",,"f4405ee824126390",,"Full-time",,,"Plano, TX 75023","Support Engineer","Posted today","4.6","184","$80,000 - $85,000 a year","2022-11-14T23:00:42.368Z","https://www.indeed.com/company/Emonics/jobs/Support-Engineer-f4405ee824126390?fccid=b3b4a6a45c149841&vjs=3"
"American Unit Inc","Title-4G/5G Systems Test/Tier3 Engineer- Wireless Networks
Location-Plano-TX
We are looking for a LTE/5G Air interface and Call Processing Test engineer to join our Wireless network team. You will be a key contributor as a product validation engineer in a multi-functional team of R&D, Systems engineering, and product validation to introduce Samsung products to Wireless Carrier.
Essential Duties and Responsibilities:

 Responsible for development of product validation, feature validation, systems and performance analysis, customer review sessions for LTE & 5G RAN products focusing on Air interface, E2E performance, and Call Processing.
 Responsible for Test execution in customer lab , Report creation and customer presentation.
 Analyzing the product and feature requirements, converting them into system test cases and execution to ensure product meets customer spec.
 Aid in product & feature performance analysis, evaluation of new product & SW releases
 Perform detailed analysis of 4G& 5G Wireless Protocols
 Responsible for analyzing and troubleshooting the issues

Job Type: Full-time
Salary: $110,000.00 - $150,000.00 per year
Benefits:

 401(k)
 Dental insurance
 Health insurance
 Paid time off

Schedule:

 8 hour shift

Ability to commute/relocate:

 Plano, TX 75023: Reliably commute or planning to relocate before starting work (Required)

Experience:

 Computer networking: 1 year (Preferred)
 LAN: 1 year (Preferred)
 5G Wireless: 1 year (Preferred)
 Call Processing: 1 year (Preferred)
 Air interface: 1 year (Preferred)

Work Location: One location",,"f14535b8261236be",,"Full-time",,,"American Unit Inc in Plano, TX 75023","Wireless test engineer","Posted today",,,"$110,000 - $150,000 a year","2022-11-14T23:00:42.321Z","https://www.indeed.com/company/American-Unit-Inc/jobs/Wireless-Test-Engineer-f14535b8261236be?fccid=af6d991369e90121&vjs=3"
"Technology Service Professionals, Inc","Windows / VMware System Administrator - this role will work primarily ONSITE in Richardson, Texas (zip code 75080)
Responsibilities: 

 VMware administration in a large global Windows Enterprise environment.
 Data Center Virtualization (VCP-DCV certification is desired)
 Optimizing physical and virtual systems and resource utilization, balancing performance and capacity.
 Configure, optimize, monitor, operate and maintain systems throughout lifecycle.
 Plan and execute patch cycles and product upgrade projects. Work with Vendors to increase expertise.

Qualifications: 

 4+ years of Microsoft Windows Server Administration
 4+ years of VMware Administration experience in a large enterprise.
 Minimum of 4 years of experience with provisioning of services, monitoring, upgrading hardware and software, configuration management, and understanding and maintaining services, such as AD, SCOM, SCCM, DCM, DNS, DHCP
 Data Center Virtualization (VMware VCP-DCV certification is desired)
 Experience with opening/closing/transferring problem tickets utilizing ITSM tools such as Cherwell, Remedy, etc.
 Experience with / familiarity with Citrix, IIS, Symantec and WINs.
 Solid understanding of Citrix infrastructure
 Datacenter/Server Operational Components (Monitoring, Management, etc.)
 Basic network administration experience
 Deep understanding of GPO, File/Folder Replication and Windows domain knowledge.
 Availability to work onsite in Richardson, TX
 Flexibility to work an on-call rotation as needed.

Additional: 

 Candidates must be authorized to work in the United States
 Prolonged periods sitting at a desk and working on a computer.
 Must be able to lift up to 15 pounds at times.
 View our benefits information: https://marketing.mytsp.net/tsp-benefits

TSP, Inc. is an equal opportunity employer and welcome applications from all qualified persons without regard to race, color, religion, sex, sexual orientation, gender identity or expression, pregnancy, age, national origin, disability status, genetic information, protected veteran status, or any other characteristic protected by law.
Job Type: Full-time
Pay: $90,000.00 - $95,000.00 per year
Benefits:

 401(k)
 401(k) matching
 Dental insurance
 Employee assistance program
 Health insurance
 Health savings account
 Life insurance
 Paid time off
 Referral program
 Vision insurance

Experience level:

 4 years

Schedule:

 8 hour shift
 Monday to Friday

Work Location: One location",,"728002e44d99cd81",,"Full-time",,,"Richardson, TX 75080","Systems Administrator (Windows / VMware)","Posted today","3.6","53","$90,000 - $95,000 a year","2022-11-14T23:00:42.935Z","https://www.indeed.com/company/Technology-Service-Professionals/jobs/System-Administrator-728002e44d99cd81?fccid=596e2206892ea1b5&vjs=3"
"Wilbert Funeral Services","Wilbert Funeral Services, INC is seeking an experienced Technical Help Desk and Support Specialist that will work and be based out of Dallas Institute of Funeral Service in Dallas, TX and serve the three campuses of Pierce Mortuary College's mission and technical needs. Pierce Mortuary Colleges (a division of Wilbert Funeral Services, INC) is a non-profit corporation offering post-secondary education to those who are interested in the funeral service industry as a career.
The Technical Help Desk and Support Specialist is the central point of contact for all information technology related support requests. The role of the IT Help Desk Tier 1 Technician is to provide support as the initial point of contact with the goal of providing world-class customer support for all users. The Tier 1 Technician is responsible for triaging, working, and escalating incoming support requests to meet customer-facing SLAs. Support is typically provided via phone, chat, remote device control, in person, and through our ticketing system for issues related to computer hardware, software, systems and peripherals.
Essential Job Functions

 Deploy, support, and maintain end-user devices, software, system/server access, and peripherals.
 Deliver timely, courteous, and knowledgeable support to all users with a smile, please and thank you.
 Coordinate onboarding support requests including new user setup, email and Active Directory account creation, server/share permissions and Multi Factor Authentication setup and enrollment.
 Administer offboarding support requests in a timely and professional manner, keeping sight of the sensitive nature and need for discretion required in these matters.
 Support software systems such as Microsoft 365 Office Suite, Syspro ERP, eCommerce, Adobe PDF applications and Microsoft Business Solutions including CRM Dynamics, SharePoint, and Azure.
 Participate in developing and maintaining documentation including SOPs, processes, protocols, and Knowledge Base articles.
 Support a full range of hardware consisting of mobile devices, tablets, Chromebooks, laptops, desktops, and peripherals ranging from desktop scanners/printers to MFP devices.
 Assist with tickets, tasks, projects, development, and advanced troubleshooting as deemed necessary.
 Be available for after-hours/on-call rotation, occasional project support outside of the standard working hours, and infrequent travel.
 Aspiration to be a foundational member of a world-class Service Desk Team for a well-established company poised for future growth.

Qualifications

 3+ years of technical experience with computer related hardware, software, and end-user support in a Microsoft Windows environment as well as technical proficiency with printers and other peripherals.
 2+ years of post-high school education required, preferably in the Information Technology field.
 Strong knowledge and support experience in Microsoft Windows 10 and M365 (i.e. Outlook, Word, Excel, PowerPoint, Teams, OneDrive, Planner and SharePoint).
 Knowledge of deployment and support of MFA, including Google, Microsoft and Fortitoken apps.
 Experience in mobile device support, including set up and troubleshooting of Apple iOS and Android OS.
 Familiarity with following and developing knowledge base articles and instructional content.
 Demonstrated experience working in cross-functional teams including multiple geographic locations to support business interactions within all levels of an organization.
 Desire to leverage personal and professional growth opportunities to provide career advancement.

Knowledge, Skills, and Abilities

 Active listening and effective written, oral, and non-verbal communication skills.
 Strong analytical and problem-solving skills with the ability to work collaboratively.
 Ticket, task and project time management and prioritization skills.
 Highly organized and detail oriented in all facets of IT Service Management.
 Ability to identify incidents and proactively work to resolve those problems.
 Desire to learn and apply technical information in a fast-paced, demanding work environment.
 Enthusiastic with a strong desire to learn and share techniques and knowledge.
 Work well in a multi-tiered team environment operating from multiple locations.
 Ability to empathize and connect with users in non-technical terms.

NOTE: This job description is not intended to be all-inclusive. A partner may perform other related duties as necessary to meet the ongoing needs of the organization
Job Type: Full-time
Pay: $45,000.00 per year
Benefits:

 401(k)
 401(k) matching
 Dental insurance
 Employee assistance program
 Health insurance
 Health savings account
 Life insurance
 Paid time off
 Vision insurance

Schedule:

 8 hour shift
 Monday to Friday

Ability to commute/relocate:

 Dallas, TX 75227: Reliably commute or planning to relocate before starting work (Required)

Education:

 Bachelor's (Preferred)

Experience:

 Microsoft Windows Technical Support: 1 year (Preferred)
 Software troubleshooting: 1 year (Preferred)

Work Location: One location",,"ca90c3d2b6fbd0c7",,"Full-time",,,"Dallas, TX 75227","Technical Help Desk and Support Specialist","Posted today","3.1","72","$45,000 a year","2022-11-14T23:00:43.568Z","https://www.indeed.com/company/Wilbert-Funeral-Services/jobs/Technical-Help-Desk-Support-Specialist-ca90c3d2b6fbd0c7?fccid=10a9293847dbf229&vjs=3"
"SUMERU INC","Job Description/Requirements: 

 6+ Month of related IT support experience must.
 High school diploma or GED.
 Experience working with Excel, Access, Word, Outlook.

Job Type: Contract
Salary: $17.50 - $20.00 per hour
Experience level:

 1 year
 Under 1 year

Schedule:

 Monday to Friday

Ability to commute/relocate:

 Dallas, TX 75244: Reliably commute or planning to relocate before starting work (Preferred)

Experience:

 IT Help desk: 1 year (Required)
 IT support: 1 year (Required)

Work Location: One location",,"3922d2e3b65dc78f",,"Contract",,,"Dallas, TX 75244","IT Help Desk Technician","Posted today",,,"$17.50 - $20.00 an hour","2022-11-14T23:00:43.831Z","https://www.indeed.com/company/Sumeru-Inc/jobs/IT-Help-Desk-Technician-3922d2e3b65dc78f?fccid=217f4d66e37fbe26&vjs=3"
"BTI Solutions","
 Role and Responsibilities 
 
  Responsible for the verification, certification and validation of device chipsets, mobile device products and applications 
  Perform and execute test to validate 2G, 3G, 4G, & LTE mobile devices in live networks and also executed operator-specific field testing in various markets 
  Perform Sanity, Regression, Stress and Reproduction testing on mobile devices. 
  Perform mobile interoperability tests on a live network to check device and network stability, Test include DCR (Dropped Call Rate), KPI, Throughput, Handovers (Inter and Intra Frequency, Inter RAT), Power Consumption, MRAB test etc. 
  Perform testing on new technologies like Firstnet, 1 Gbps TP Test, 4CA, 4x4 MIMO (12 Layers),256 QAM, 4RxD, Band 14, Band 71(600 MHz) and LAA (Licensed Assisted Access). 
  Perform various throughput test using Mobile applications like Ooakla, Datum (Spirent), Iperf on different AT&T and T-Mobile carriers and analyzes data throughput from application and Physical layers. 
  Run ADB (Android Debug Bridge) Shell scripts to Automate Test cases for Regression Testing. 
  Report software issues and collaborate with R&D to fix it , Collect various logs and provide with reported bugs 
  Understanding of Wireless Network Architecture, technologies (GSM/GPRS/EDGE, W-CDMA/HSPA+, LTE, Bluetooth®, Wi-Fi) and concept with focus on Handsets and radio networks. 
  Good knowledge of IMS architecture / SIP Call Flow and entities such as HSS, SPR, AAA, P-CSCF, S-CSCF, I-CSCF, MGCF, MFR 
  Perform VoLTE Call testing , VoWiFi testing ,ViLTE Testing, RCS , IPME ,EVS ,ePDG and IMS Stack Integration Testing 
  Good Interpersonal, Project Management and Team Management skills 
  Candidate must have a valid driver’s license to support frequent business trips 
  
  
 Required Skills 
 
  Candidate must be technically sound on hardware/software development and release cycle 
  Good Understanding of Cellular technologies and industry standards and techniques. 
  Knowledge of wireless protocol log capturing and diagnosis tools for various chipsets such as QXDM, QPST, QCAT, Shannon DM, Wireshark, Air Logging tool 
  High level of oral and written communication skills 
  (2)+ years of relevant experience with at least BSCS or equivalent degree in EE/Computer Science or similar engineering degree, or equivalent experience 
  
  
 Why Work for Us?
  Established in 2006, continues to grow dramatically within the IT/telecommunications/Automobility and SCM industry. We encourage our employees in personal development with a passion to succeed and we offer an excellent benefit package. Every employee has access to Medical, Vision, Dental, Life and 401K plus many more. 
  
  401K with Employer Match
  Company Paid Dental, Vision, Life and Medical up to 100%
  Paid Sick Leave
  Chance for VISA sponsoring
","https://www.indeed.com/applystart?jk=af5a94a0736f5222&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXidqXQt-QtYXuL-fya4lbcSMIfcMu539kP3i1FMxIq2rA&vjfrom=serp&astse=2d9b629b8256c902&assa=4020","af5a94a0736f5222",,,,,"Dallas, TX","Mobile Device Test Engineer / Dallas, TX / Mobile / SHQ","Posted today","2.4","26",,"2022-11-14T23:00:44.201Z","https://www.indeed.com/rc/clk?jk=af5a94a0736f5222&fccid=432c4c76533d86c8&vjs=3"
"Sagent","
 
  
   Why you'll LOVE Sagent:
  
   
   
  
    You could work anywhere. We know you are talented and looking for something inspiring and impactful. A place where you will make a difference and have a great time doing it!
  
   
   
  
    By choosing Sagent, you can be part of our mission to make loans and homeownership simpler and safer for all consumers.
  
   
   
  
    Sagent powers servicers and consumers. You power Sagent!
  
 
 
  About the Opportunity: For every individual and family, two of their biggest life purchasing decisions involve buying a car and a house. We are the company working behind the scenes with our clients to create industry leading technology that ensures the experience is secure and easy for consumers. Each year, we are proud to help millions of people realize their ownership dreams. Our clients, who are Blue chip lenders and high-growth brand name disruptors trust us to help them address and anticipate the ever-evolving lending landscape. Over the years, we earned the industry's choice for scalable performance and innovative technology that connects lenders with the people that they serve.  This is one of the most exciting times to join our team because of a recent joint venture agreement between our previous parent company Fiserv and private equity firm Warburg Pincus. With this agreement, we are backed by both the legacy of a Fortune 500 company that has been voted one of the World's Most Admired Companies and the growth expertise of a leading investment group. 
  Our team will provide you with the best tools, resources and compensation to get the job done…and enjoy every minute of it. And if it couldn't get any better….this role is REMOTE!  Your Day-to-Day at Sagent: As an IT Operations Specialist IV, you will work in a fast paced operations environment working directly with infrastructure components. You will support all the technology for our clients, who include some of the largest mortgage lenders in the United States. In this hands-on role, you will help Sagent Lending Technologies to deliver the next generation lending experience for our clients. 
  
  Possess strong troubleshooting skills in all core file transfer and network disciplines. 
  Uses expert knowledge of each protocol solution and is capable of configuring transmissions in any of them. 
  Responsible for reviewing each assigned file transmission request, understanding the customer requirements, working directly with the customer and internal business partners and configuring a standard file transmission solution. 
  Responds with answers to complex technical questions from the customer and can advise and make technical recommendations back to the customer. 
  Utilizes knowledge of workload provisioning and strong troubleshooting skills. 
  
 We'd love to hear from you if you have: 
  
  Bachelor's degree in a technical or business field, or equivalent education and related experience. 
  At least five years of demonstrated experience with an enterprise managed file transmission service along with experience in related information technology areas of security and web service in support of transmissions. 
  Exposure to and good working knowledge of systems integration involving both IBM Mainframe as well as Cloud based distributed computing environments involving Internet Protocols 
  Ability to derive technical specifications from business requirements and express complex technical concepts in terms that are understandable to multi-disciplinary teams, in verbal as well as in written form 
  Ability to multi-task and have excellent organizational, written and verbal skills. 
  JCL and Shell scripting experience 
  Excellent understanding of client service models and customer orientation in service delivery 
  Demonstrated working experience with the Mainframe, Windows and UNIX operating environment. Experience in cloud based distributed and mainframe systems highly desirable. 
  This includes such technologies as FTP, SSH, SSL, AS2 and digital certificate 
  Demonstrated working knowledge of the following applications: 
  IBM/Sterling File Gateway or Sterling Integrator 
  IBM/Sterling Secure Proxy 
  IBM/Sterling Connect:Direct on Mainframe (z/OS), Unix/Linux, Windows 
  Working knowledge of XML / Business Process modeling / xPath Working knowledge of network routing/protocols, firewalls, and TCP/IP. 
  Understanding of encryption protocols and various encryption software, such as PGP, GPG, PKI. 
  Working knowledge of Windows Server technologies (WINS, DNS, Clustering). 
  Understanding of LDAP, Active Directory, and other authentication systems. 
  Understanding of SQL and database structures. 
  Position can be remote. 
  
 #LI-Remote 
  #LI-MP1
 
 
   
  
    Perks!
   
  
    As a Sagent Associate, you will be eligible to participate in our benefit programs beginning on Day #1! We offer a comprehensive package including Remote/Hybrid workplace options, Health Benefits, Unlimited Flexible Time Off, Family Planning Services, Tuition Reimbursement, Paid Family Leave, 401(k) Matching, Pet Insurance, LinkedIn Learning, Virtual Social Experiences, Career Pathing, Focus Time Fridays and much, much more!
  
   
   
  
    Why Sagent?
   
  
    Sagent is transforming the mortgage servicing industry by bringing the modern experience customers now expect from loan originations to loan servicing. Our platform lets customers manage their home-owing lives from anywhere while giving servicers lower costs, scale compliance and higher servicing values through full market cycles.
  
   
   
  
    Sagent is a joint venture that combines Fiserv Inc.'s decades of market-leading fintech expertise with Warburg Pincus' skill in growing technology companies. We hire innovators and doers to disrupt the last and most complex frontier of lending and housing. We're growing fast and need you to help share our future.
  
   
   
  
    Sagent is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.
  
 
","https://www.indeed.com/applystart?jk=08ed437427ba37dc&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXjI6ovqUC1ldRvJLModrNWakiS-2XS_43VyhyRGICpJaw&vjfrom=serp&astse=2274eb82b460440c&assa=3975","08ed437427ba37dc",,"Remote",,,"Dallas, TX","IT Support Specialist IV","Posted today","3.2","9",,"2022-11-14T23:00:44.691Z","https://www.indeed.com/rc/clk?jk=08ed437427ba37dc&fccid=5123b0966eabf18d&vjs=3"
"Boston Technology","
 Agile Scrum Master to assist our project managers in developing and maintaining the story cards, along with providing guidance for Project Managers that are learning the agile methodology. Manage multiple workstreams / scrum teams. This Agile Project Manager would be responsible for planning, leading, organizing, and motivating Agile project teams. Working with a goal to achieve a high level of performance, quality, and deliver agile projects that provide exceptional business value to users. Playing a critical role to put in place the appropriate people,

Job Type: Full-time
Pay: $83,366.72 - $110,753.77 per year
Schedule:

 Monday to Friday

Ability to commute/relocate:

 Plano, TX 75023: Reliably commute or planning to relocate before starting work (Required)

Experience:

 Scrum: 1 year (Preferred)

Work Location: One location",,"929da60a5ad069eb",,"Full-time",,,"Plano, TX 75023","Agile Scrum Master","Posted today",,,"$83,367 - $110,754 a year","2022-11-14T23:00:44.758Z","https://www.indeed.com/company/Boston-Technology/jobs/Agile-Scrum-Master-929da60a5ad069eb?fccid=4944c1d0a4b3ab8a&vjs=3"
